Title,Publisher,TV Format,MD5,Bankswitch Type,7800 Detected,7800 works,7800 plays through,notes
Conquest of Mars,,NTSC,50dd164c77c4df579843baf838327469,F6,,,,
Cookie Monster Munch,Atari,NTSC,57c5b351d4de021785cf8ed8191a195c,F8,,,,
Corrida da Matematica,CCE,NTSC,01e5c81258860dd82f77339d58bc5f5c,4K,,,,
Cosmic Ark,CCE,NTSC,98ef1593624b409b9fb83a1c272a0aa7,4K,,,,
Cosmic Commuter,Activision,NTSC,133b56de011d562cbab665968bde352b,4K,,,,
Cosmic Corridor,ZiMAG,NTSC,f367e58667a30e7482175809e3cec4d4,4K,,,,
Cosmic Creeps,Telesys,NTSC,3c853d864a1d5534ed0d4b325347f131,4K,,,,
Ant Party,Atari ,PAL,afe4eefc7d885c277fc0649507fbcd84,2K,,,,
Cosmic Swarm,CommaVid,NTSC,9dec0be14d899e1aac4337acef5ab94a,2K,,,,
Cosmic Swarm,CommaVid,NTSC,e5f17b3e62a21d0df1ca9aee1aa8c7c5,2K,,,,
Crack'ed,Atari ,NTSC,fe67087f9c22655ce519616fc6c6ef4d,F6SC,SC,,,
Crackpots,Activision,NTSC,a184846d8904396830951217b47d13d9,4K,,,,
Crash Dive,,NTSC,fb88c400d602fe759ae74ef1716ee84e,4K,,,,
Crazy Climber,Atari,NTSC,55ef7b65066428367844342ed59f956c,F8,,,,
crazyballoon-ntsc,,NTSC,0f1e13666dccc0783b1c4fc714d05ec6,4K,,,,
Crazy Valet,Hozer Video Games,NTSC,4a7eee19c2dfb6aeb4d9d0a01d37e127,4K,,,,
"Mysterious Thief, A",ZiMAG ,NTSC,48f18d69799a5f5451a5f0d17876acef,4K,,,,
Cross Force,Spectravision,NTSC,c17bdc7d14a36e10837d039f43ee5fa3,4K,,,,
Crossbow,Atari,NTSC,8cd26dcf249456fe4aeb8db42d49df74,F6,,,,
Radar,Zellers,NTSC,74f623833429d35341b7a84bc09793c0,4K,,,,
Radar,Zellers,NTSC,74f623833429d35341b7a84bc09793c0,4K,,,,
Crypts of Chaos,,NTSC,384f5fbf57b5e92ed708935ebf8a8610,4K,,,,
Crystal Castles,Atari,NTSC,1c6eb740d3c485766cade566abab8208,F6SC,SC,,,
Cubicolor,Imagic ,NTSC,6fa0ac6943e33637d8e77df14962fbfc,4K,,,,
Cubo Magico,CCE,NTSC,64ca518905311d2d9aeb56273f6caa04,4K,,,,
Custer's Revenge,Mystique,NTSC,58513bae774360b96866a07ca0e8fd8e,4K,,,,
Dancing Plate,BitCorp ,PAL,929e8a84ed50601d9af8c49b0425c7ea,4K,,,,
Dark Chambers,Atari,NTSC,106855474c69d08c8ffa308d47337269,F6SC,SC,,,
Dark Cavern,M Network,NTSC,a422194290c64ef9d444da9d6a207807,4K,,,,
Dark Mage,Greg Troutman PD,NTSC,6333ef5b5cbb77acd47f558c8b7a95d3,F8,,,,
Deadly Duck,,NTSC,e4c00beb17fdc5881757855f2838c816,4K,,,,
Death Trap,Avalon Hill,NTSC,4e15ddfd48bca4f0bf999240c47b49f5,4K,,,,
Decathlon,Activision,NTSC,ac7c2260378975614192ca2bc3d20e0b,FE,FE,not working,,
Defender 2,,NTSC,d1fc4cf675c9b49fb7deb792f2f3a7a5,F6SC,,,,
Defender II,Atari,NTSC,3a771876e4b61d42e3a3892ad885d889,F8SC,SC,,,
Defender,Atari,NTSC,0f643c34e40e3f1daafd9c524d3ffe64,4K,,,,
Demolition Herby,Telesys,NTSC,d09935802d6760ae58253685ff649268,4K,,,,
Demon Attack,Activision,NTSC,bcb2967b6a9254bcccaf906468a22241,4K,,,,
Demons to Diamonds,Atari,NTSC,f91fb8da3223b79f1c9a07b77ebfa0b2,4K,,,,
Desert Falcon,Atari,NTSC,fd4f5536fd80f35c64d365df85873418,F6SC,SC,,,
Star Wars - Death Star Battle,Parker Bros,NTSC,5336f86f6b982cc925532f2e80aa1e17,E0,EO,,,
Dice Puzzle,Panda,NTSC,9222b25a0875022b412e8da37e7f6887,4K,,,,
Dig Dug,Atari,NTSC,6dda84fb8e442ecf34241ac0d1d91d69,F6,,,,
Dishaster,ZiMAG,NTSC,939ce554f5c0e74cc6e4e62810ec2111,4K,,,,
Dodge 'Em,Atari,NTSC,83bdc819980db99bf89a7f2ed6a2de59,4K,,,,
Dolphin,Activision,NTSC,ca09fa7406b7d2aea10d969b6fc90195,4K,,,,
Donald Duck's Speedboat,Atari ,NTSC,937736d899337036de818391a87271e0,F8,,,,
Donkey Kong Jr,CCE,NTSC,5a6febb9554483d8c71c86a84a0aa74e,F8,,,,
Donkey Kong,Atari,NTSC,36b20c427975760cb9cf4a47e41369e4,4K,,,,
Double Dragon,Activision ,PAL,47464694e9cce07fdbfd096605bf39d4,F6,,,,
Double Dunk,Atari,NTSC,368d88a6c071caba60b4f778615aae94,F6,,,,
Dragon Defender,Ariola ,PAL,6a882fb1413912d2ce5cf5fa62cf3875,4K,,,,
Dragon Treasure,Funvision,NTSC,41810dd94bd0de1110bedc5092bef5b0,4K,,,,
Dragster,Activision,NTSC,77057d9d14b99e465ea9e29783af0ae3,2K,,,,
Dragster,Activision,NTSC,63a6eda1da30446569ac76211d0f861c,2K,,,,
Dragon Defender,Ariola ,PAL,6a882fb1413912d2ce5cf5fa62cf3875,4K,,,,
Tom Boy,Rainbow Vision ,PAL,de61a0b171e909a5a4cfcf81d146dbcb,4K,,,,
Treasure Island,Suntek ,PAL,1bb91bae919ddbd655fa25c54ea6f532,4K,,,,
Dukes of Hazzard,Atari,NTSC,51de328e79d919d7234cf19c1cd77fbc,F6,,,,
Dukes of Hazzard,Atari ,NTSC,34ca2fcbc8ba4a0b544acd94991cfb50,2K,,,,
Dumbo's Flying Circus,Atari  ,NTSC,1f773a94d919b2a3c647172bbb97f6b4,F8,,,,
Dune,Atari ,NTSC,469473ff6fed8cc8d65f3c334f963aab,F8,,,,
E.T. - The Extra-Terrestrial,Atari,NTSC,615a3bf251a38eb6638cdc7ffbde5480,F8,,,,
"Earth Dies Screaming, The",,NTSC,033e21521e0bf4e54e8816873943406d,4K,,,,
Eggomania,U.S. Games,NTSC,42b2c3b4545f1499a083cfbc4a3b7640,4K,,,,
Elevator Action,Atari ,NTSC,71f8bacfbdca019113f3f0801849057e,F8SC,,,,
Eli's Ladder,Simage,NTSC,b6812eaf87127f043e78f91f2028f9f4,4K,,,,
Elk Attack,Atari ,NTSC,7eafc9827e8d5b1336905939e097aae7,F8,,,,
Encounter at L-5,Data Age,NTSC,dbc8829ef6f12db8f463e30f60af209f,4K,,,,
Enduro,Activision,NTSC,94b92a882f6dbaa6993a46e2dcc58402,4K,,,,
"Entity, The",,NTSC,9f5096a6f1a5049df87798eb59707583,4K,,,,
Entombed,U.S. Games,NTSC,6b683be69f92958abe0e2a9945157ad5,4K,,,,
Espial,Tigervision ,PAL,f7a138eed69665b5cd1bfa796a550b01,3F,,,,
Euchre,,NTSC,6205855cc848d1f6c4551391b9bfa279,4K,,,,
Euchre,,PAL,199985cae1c0123ab1aef921daace8be,4K,,,,
Star Wars - Ewok Adventure,Thomas Jentzsch ,NTSC,c246e05b52f68ab2e9aee40f278cd158,E0,E0,,,
Star Wars - Ewok Adventure,Parker Bros  ,PAL,6dfad2dd2c7c16ac0fa257b6ce0be2f0,E0,E0,,,
Exocet,Panda,NTSC,6362396c8344eec3e86731a700b13abf,4K,,,,
Fighter Pilot,Activision ,PAL,2ac3a08cfbf1942ba169c3e9e6c47e09,F6,,,,
falldown_ntsc,,NTSC,76181e047c0507b2779b4bcbf032c9d5,F8,,,,
Fantastic Voyage,,NTSC,b80d50ecee73919a507498d0a4d922ae,4K,,,,
Farmyard Fun,Ariola,NTSC,f7e07080ed8396b68f2e5788a5c245e2,4K,,,,
